epoch,accuracy,learning_rate,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.0716145858168602,0.0005000000237487257,2.674471378326416,0.1966145932674408,0.06640625,2.483063220977783,0.201171875
1,0.0771484375,0.0005000000237487257,2.6190102100372314,0.2164713591337204,0.07421875,2.4545133113861084,0.205078125
2,0.0813802108168602,0.0005000000237487257,2.5516581535339355,0.2347005307674408,0.09765625,2.4315733909606934,0.208984375
3,0.0904947966337204,0.0005000000237487257,2.4902408123016357,0.271484375,0.10546875,2.4124433994293213,0.25390625
4,0.0950520858168602,0.0005000000237487257,2.4823646545410156,0.26953125,0.099609375,2.3932790756225586,0.2734375
5,0.123046875,0.0005000000237487257,2.4184799194335938,0.2991536557674408,0.10546875,2.37457275390625,0.294921875
6,0.1279296875,0.0005000000237487257,2.371171474456787,0.3284505307674408,0.126953125,2.3537795543670654,0.310546875
7,0.1552734375,0.0005000000237487257,2.3256139755249023,0.3603515625,0.134765625,2.330111503601074,0.357421875
8,0.1643880307674408,0.0005000000237487257,2.291689395904541,0.3802083432674408,0.15234375,2.3027069568634033,0.37890625
9,0.2005208432674408,0.0005000000237487257,2.2285680770874023,0.4261067807674408,0.185546875,2.2712717056274414,0.416015625
10,0.2516276240348816,0.0005000000237487257,2.0994036197662354,0.498046875,0.21875,2.231783628463745,0.431640625
11,0.2506510615348816,0.0005000000237487257,2.057088851928711,0.5016276240348816,0.251953125,2.1799447536468506,0.46875
12,0.3043619990348816,0.0005000000237487257,1.9783098697662354,0.5563151240348816,0.279296875,2.114607334136963,0.521484375
13,0.3479817807674408,0.0005000000237487257,1.82793128490448,0.6097005605697632,0.298828125,2.0369601249694824,0.544921875
14,0.3776041865348816,0.0005000000237487257,1.8230371475219727,0.6263021230697632,0.306640625,1.945780873298645,0.583984375
15,0.4488932490348816,0.0005000000237487257,1.666571855545044,0.7203776240348816,0.333984375,1.8383711576461792,0.634765625
16,0.4378255307674408,0.0005000000237487257,1.6885621547698975,0.6897786855697632,0.396484375,1.7219821214675903,0.68359375
17,0.587890625,0.0005000000237487257,1.3902277946472168,0.8102213740348816,0.4453125,1.595210075378418,0.744140625
18,0.4892578125,0.0005000000237487257,1.5182403326034546,0.7405599355697632,0.513671875,1.4665359258651733,0.7734375
19,0.6946614980697632,0.0005000000237487257,1.0942919254302979,0.8828125,0.5703125,1.3333805799484253,0.796875
20,0.6243489980697632,0.0005000000237487257,1.2607636451721191,0.8421224355697632,0.62109375,1.1945408582687378,0.84375
21,0.6194661855697632,0.0005000000237487257,1.2065420150756836,0.8427734375,0.677734375,1.0481024980545044,0.890625
22,0.7067057490348816,0.0005000000237487257,1.033777117729187,0.8971354365348816,0.736328125,0.9008330702781677,0.9296875
23,0.7005208730697632,0.0005000000237487257,1.0499927997589111,0.9010416865348816,0.802734375,0.7536097168922424,0.962890625
24,0.7770182490348816,0.0005000000237487257,0.8590565919876099,0.9339193105697632,0.84375,0.620827317237854,0.978515625
25,0.8473307490348816,0.0005000000237487257,0.73317950963974,0.970703125,0.89453125,0.49854177236557007,0.990234375
26,0.8518880605697632,0.0005000000237487257,0.6522375345230103,0.9635416865348816,0.919921875,0.39343464374542236,0.994140625
27,0.7623698115348816,0.0005000000237487257,0.8352386951446533,0.9339193105697632,0.951171875,0.31472525000572205,0.994140625
28,0.853515625,0.0005000000237487257,0.626785159111023,0.9674479365348816,0.966796875,0.2583003342151642,0.998046875
29,0.7897135615348816,0.0005000000237487257,0.867898166179657,0.9371744990348816,0.978515625,0.21302452683448792,1.0
30,0.8779296875,0.0005000000237487257,0.5290611386299133,0.96875,0.98828125,0.18070948123931885,1.0
31,0.9055989980697632,0.0005000000237487257,0.5370340347290039,0.9807943105697632,0.990234375,0.15737511217594147,1.0
32,0.900390625,0.0005000000237487257,0.44240617752075195,0.98046875,0.99609375,0.13997511565685272,1.0
33,0.9016927480697632,0.0005000000237487257,0.5033630132675171,0.9850260615348816,0.99609375,0.12903639674186707,1.0
34,0.9274088740348816,0.0005000000237487257,0.4612238109111786,0.9860026240348816,0.99609375,0.12180010229349136,1.0
35,0.8567708730697632,0.0005000000237487257,0.5133208632469177,0.9697265625,0.99609375,0.11597418040037155,1.0
36,0.9791666865348816,0.0005000000237487257,0.28663477301597595,0.998046875,0.998046875,0.1114879921078682,1.0
37,0.9466146230697632,0.0005000000237487257,0.37145769596099854,0.9928385615348816,0.998046875,0.10815615952014923,1.0
38,0.8955078125,0.0005000000237487257,0.407068133354187,0.9827474355697632,0.998046875,0.10514054447412491,1.0
39,0.9765625,0.0005000000237487257,0.3567386567592621,0.9990234375,1.0,0.10277976840734482,1.0
40,0.8971354365348816,0.0005000000237487257,0.4130147397518158,0.9765625,1.0,0.10100052505731583,1.0
41,0.9912109375,0.0005000000237487257,0.24091705679893494,0.9996744990348816,1.0,0.09969793260097504,1.0
42,0.9134114980697632,0.0005000000237487257,0.43216365575790405,0.986328125,1.0,0.09859398007392883,1.0
43,0.8935546875,0.0005000000237487257,0.4536983370780945,0.9853515625,1.0,0.09775562584400177,1.0
44,0.96875,0.0005000000237487257,0.295165479183197,0.99609375,1.0,0.09725264459848404,1.0
45,0.833984375,0.0005000000237487257,0.46227043867111206,0.9654948115348816,1.0,0.09690461307764053,1.0
46,0.9736328125,0.0005000000237487257,0.3143942952156067,0.9964193105697632,1.0,0.09667062014341354,1.0
47,0.9508463740348816,0.0005000000237487257,0.2631395161151886,0.9912109375,1.0,0.09643964469432831,1.0
48,0.9938151240348816,0.0005000000237487257,0.22642943263053894,0.9996744990348816,1.0,0.09619555622339249,1.0
49,0.9853515625,0.0005000000237487257,0.31592854857444763,0.9996744990348816,1.0,0.09599938243627548,1.0
